algorithm,input,n,time_ms,comparisons,max_depth
mergesort,random,1000,0.051,9545,8
quicksort,random,1000,0.062,11215,5
quickselect,random,1000,0.020,4539,17
mergesort,random,10000,0.857,127195,11
quicksort,random,10000,0.903,172738,7
quickselect,random,10000,0.189,27013,15
mergesort,random,100000,11.676,1639435,14
quicksort,random,100000,10.920,2074880,10
quickselect,random,100000,1.709,438461,21
mergesort,random,1000000,142.717,19890183,18
quicksort,random,1000000,135.120,25063973,12
quickselect,random,1000000,16.587,4064961,26
mergesort,sorted,1000,0.030,4236,8
quicksort,sorted,1000,0.055,11774,5
quickselect,sorted,1000,0.009,3746,11
mergesort,sorted,10000,0.433,59248,11
quicksort,sorted,10000,0.784,163566,8
quickselect,sorted,10000,0.074,33941,27
mergesort,sorted,100000,3.488,744016,14
quicksort,sorted,100000,7.232,2093960,9
quickselect,sorted,100000,0.652,307947,30
mergesort,sorted,1000000,38.128,9071040,18
quicksort,sorted,1000000,77.815,25782493,12
quickselect,sorted,1000000,5.235,3016551,24
mergesort,duplicates,1000,0.053,9177,8
quicksort,duplicates,1000,0.020,3233,4
quickselect,duplicates,1000,0.010,1589,2
mergesort,duplicates,10000,0.521,121450,11
quicksort,duplicates,10000,0.230,30779,4
quickselect,duplicates,10000,0.112,16967,3
mergesort,duplicates,100000,6.322,1561658,14
quicksort,duplicates,100000,1.790,300227,4
quickselect,duplicates,100000,0.934,169909,2
mergesort,duplicates,1000000,70.822,18921497,18
quicksort,duplicates,1000000,19.363,3001518,4
quickselect,duplicates,1000000,14.198,2402886,4
